Date,Open_London,High_London,Low_London,Close_London,Volume_London,AdjClose_London,Return_London
1990-01-01,2422.699951,2422.699951,2422.699951,2422.699951,0,2422.699951,
1990-01-02,2425.5,2443.300049,2425.5,2434.100098,0,2434.100098,0.00470555464175
1990-01-03,2445.800049,2466.199951,2445.800049,2463.699951,0,2463.699951,0.0121604912733
1990-01-04,2463.699951,2479.399902,2451.600098,2451.600098,0,2451.600098,-0.00491125268525
1990-01-05,2448.699951,2448.699951,2436.600098,2444.5,0,2444.5,-0.00289610773217
1990-01-08,2444.5,2445.600098,2423.800049,2431.300049,0,2431.300049,-0.00539985723052
1990-01-09,2431.300049,2437.800049,2420.5,2436.300049,0,2436.300049,0.00205651293515
1990-01-10,2425.199951,2425.199951,2411.899902,2412.600098,0,2412.600098,-0.00972784571823
1990-01-11,2412.600098,2421.0,2396.5,2417.899902,0,2417.899902,0.00219671880325
1990-01-12,2402.899902,2402.899902,2370.300049,2380.100098,0,2380.100098,-0.0156333204566
1990-01-15,2366.399902,2366.399902,2352.800049,2366.199951,0,2366.199951,-0.00584015227413
1990-01-16,2366.199951,2369.699951,2329.5,2349.100098,0,2349.100098,-0.00722671513571
1990-01-17,2355.5,2373.899902,2355.5,2373.899902,0,2373.899902,0.010557150809
1990-01-18,2358.0,2358.0,2326.199951,2336.899902,0,2336.899902,-0.0155861668678
1990-01-19,2336.899902,2349.300049,2319.699951,2335.0,0,2335.0,-0.000813001018304
1990-01-22,2335.0,2346.399902,2297.100098,2297.100098,0,2297.100098,-0.0162312214133
1990-01-23,2297.100098,2305.899902,2272.600098,2291.100098,0,2291.100098,-0.00261198891821
1990-01-24,2278.800049,2278.800049,2250.5,2278.600098,0,2278.600098,-0.0054558943151
1990-01-25,2288.699951,2308.100098,2288.699951,2289.899902,0,2289.899902,0.00495909923374
1990-01-26,2297.5,2325.5,2297.5,2314.5,0,2314.5,0.0107428704541
1990-01-29,2317.5,2333.300049,2317.5,2328.800049,0,2328.800049,0.00617846143876
1990-01-30,2328.800049,2334.0,2321.300049,2322.0,0,2322.0,-0.00291997975649
1990-01-31,2322.0,2337.399902,2314.899902,2337.300049,0,2337.300049,0.00658916838932
1990-02-01,2343.600098,2355.399902,2343.600098,2345.800049,0,2345.800049,0.00363667471946
1990-02-02,2345.800049,2356.199951,2342.300049,2355.100098,0,2355.100098,0.00396455316128
1990-02-05,2353.699951,2353.699951,2344.800049,2348.399902,0,2348.399902,-0.00284497291885
1990-02-06,2345.399902,2345.399902,2320.0,2321.100098,0,2321.100098,-0.0116248531508
1990-02-07,2320.600098,2320.600098,2299.100098,2307.399902,0,2307.399902,-0.00590245806797
1990-02-08,2321.0,2331.199951,2321.0,2331.0,0,2331.0,0.010228005115
1990-02-09,2323.899902,2323.899902,2308.5,2313.600098,0,2313.600098,-0.00746456542257
1990-02-12,2313.300049,2313.300049,2282.399902,2286.899902,0,2286.899902,-0.0115405406592
1990-02-13,2286.899902,2299.399902,2285.800049,2293.199951,0,2293.199951,0.00275484248108
1990-02-14,2297.600098,2310.600098,2297.600098,2298.300049,0,2298.300049,0.00222400929224
1990-02-15,2298.300049,2314.399902,2289.300049,2313.800049,0,2313.800049,0.00674411507181
1990-02-16,2319.600098,2334.399902,2319.600098,2325.899902,0,2325.899902,0.00522942896696
1990-02-19,2318.100098,2318.100098,2294.899902,2297.100098,0,2297.100098,-0.0123822198777
1990-02-20,2290.800049,2290.800049,2276.399902,2277.0,0,2277.0,-0.0087502055385
1990-02-21,2261.699951,2261.699951,2246.0,2259.699951,0,2259.699951,-0.00759773781291
1990-02-22,2259.699951,2269.199951,2251.5,2269.199951,0,2269.199951,0.00420409798026
1990-02-23,2248.399902,2248.399902,2223.699951,2223.699951,0,2223.699951,-0.0200511197702
1990-02-26,2223.699951,2249.399902,2208.399902,2249.300049,0,2249.300049,0.0115123886154
1990-02-27,2249.300049,2257.5,2249.199951,2254.800049,0,2254.800049,0.00244520512168
1990-02-28,2254.800049,2265.600098,2253.699951,2255.399902,0,2255.399902,0.00026603378879
1990-03-01,2246.199951,2246.199951,2236.0,2238.399902,0,2238.399902,-0.00753746596554
1990-03-02,2240.600098,2255.899902,2240.600098,2254.800049,0,2254.800049,0.00732672789404
1990-03-05,2238.800049,2238.800049,2230.199951,2230.5,0,2230.5,-0.0107770305446
1990-03-06,2230.5,2238.199951,2211.800049,2216.0,0,2216.0,-0.00650078457745
1990-03-07,2219.100098,2234.899902,2219.100098,2230.300049,0,2230.300049,0.00645309070397
1990-03-08,2240.800049,2254.699951,2240.800049,2250.0,0,2250.0,0.0088328702718
1990-03-09,2250.0,2263.300049,2230.899902,2234.300049,0,2234.300049,-0.006977756
1990-03-12,2229.100098,2229.100098,2216.699951,2222.800049,0,2222.800049,-0.00514702580128
1990-03-13,2222.800049,2224.800049,2213.399902,2224.5,0,2224.5,0.000764779090573
1990-03-14,2224.5,2238.300049,2223.199951,2226.100098,0,2226.100098,0.000719306810519
1990-03-15,2227.899902,2242.300049,2227.899902,2234.899902,0,2234.899902,0.00395301361691
1990-03-16,2238.800049,2264.199951,2238.800049,2263.899902,0,2263.899902,0.0129759726483
1990-03-19,2261.100098,2261.100098,2235.899902,2238.0,0,2238.0,-0.0114403918553
1990-03-20,2244.800049,2259.699951,2244.800049,2259.699951,0,2259.699951,0.00969613538874
1990-03-21,2250.300049,2250.300049,2230.100098,2250.300049,0,2250.300049,-0.00415980094872
1990-03-22,2250.300049,2267.800049,2240.699951,2258.899902,0,2258.899902,0.00382164725269
1990-03-23,2264.100098,2283.899902,2264.100098,2283.899902,0,2283.899902,0.0110673341381
1990-03-26,2286.300049,2306.899902,2286.300049,2298.199951,0,2298.199951,0.00626124156644
1990-03-27,2295.600098,2295.600098,2265.800049,2266.199951,0,2266.199951,-0.013923940772
1990-03-28,2270.800049,2280.399902,2270.800049,2275.0,0,2275.0,0.00388317411979
1990-03-29,2275.0,2276.300049,2259.899902,2263.0,0,2263.0,-0.00527472527473
1990-03-30,2263.0,2271.0,2245.5,2247.899902,0,2247.899902,-0.00667260185594
1990-04-02,2245.0,2245.0,2211.600098,2221.600098,0,2221.600098,-0.0116997220279
1990-04-03,2221.600098,2241.699951,2218.0,2240.699951,0,2240.699951,0.00859734072626
1990-04-04,2240.699951,2247.5,2229.199951,2231.600098,0,2231.600098,-0.00406116534967
1990-04-05,2231.600098,2239.5,2220.0,2239.5,0,2239.5,0.00354001687268
1990-04-06,2239.5,2243.199951,2221.0,2221.100098,0,2221.100098,-0.0082160759098
1990-04-09,2221.100098,2227.899902,2218.800049,2227.699951,0,2227.699951,0.00297143429328
1990-04-10,2221.0,2221.0,2207.300049,2217.5,0,2217.5,-0.00457869157622
1990-04-11,2217.5,2219.899902,2211.899902,2215.5,0,2215.5,-0.000901916572717
1990-04-12,2215.5,2222.199951,2209.5,2222.100098,0,2222.100098,0.00297905574362
1990-04-13,2222.100098,2222.100098,2222.100098,2222.100098,0,2222.100098,0.0
1990-04-16,2222.100098,2222.100098,2222.100098,2222.100098,0,2222.100098,0.0
1990-04-17,2222.100098,2225.699951,2213.800049,2214.5,0,2214.5,-0.00342023206193
1990-04-18,2214.5,2223.899902,2205.699951,2205.899902,0,2205.899902,-0.00388353939941
1990-04-19,2194.899902,2194.899902,2180.5,2184.699951,0,2184.699951,-0.00961056799575
1990-04-20,2184.800049,2191.100098,2184.800049,2187.100098,0,2187.100098,0.00109861631063
1990-04-23,2185.100098,2185.100098,2159.100098,2159.199951,0,2159.199951,-0.0127566849938
1990-04-24,2159.199951,2168.699951,2150.399902,2159.899902,0,2159.899902,0.000324171459746
1990-04-25,2159.899902,2167.600098,2142.899902,2143.100098,0,2143.100098,-0.00777804748472
